=== Weekly Top 5 IPs ===
+-------------------+---------------+-------------+
|week               |ip_address     |request_count|
+-------------------+---------------+-------------+
|2024-12-23 00:00:00|81.162.155.253 |2            |
|2024-12-23 00:00:00|61.197.113.10  |2            |
|2024-12-23 00:00:00|25.178.85.97   |2            |
|2024-12-23 00:00:00|44.50.62.37    |2            |
|2024-12-23 00:00:00|67.255.255.120 |2            |
|2024-12-30 00:00:00|184.55.32.5    |2            |
|2024-12-30 00:00:00|173.133.209.106|2            |
|2024-12-30 00:00:00|57.87.83.147   |2            |
|2024-12-30 00:00:00|16.4.19.121    |2            |
|2024-12-30 00:00:00|181.243.112.92 |2            |
|2025-01-06 00:00:00|112.116.158.218|2            |
|2025-01-06 00:00:00|59.238.133.159 |2            |
|2025-01-06 00:00:00|15.20.176.228  |2            |
|2025-01-06 00:00:00|174.16.206.195 |2            |
|2025-01-06 00:00:00|17.140.40.154  |2            |
|2025-01-13 00:00:00|131.41.118.134 |2            |
|2025-01-13 00:00:00|116.6.19.94    |2            |
|2025-01-13 00:00:00|152.184.154.128|2            |
|2025-01-13 00:00:00|164.219.99.57  |2            |
|2025-01-13 00:00:00|93.5.251.3     |2            |
|2025-01-20 00:00:00|49.245.39.81   |2            |
|2025-01-20 00:00:00|25.23.70.85    |2            |
|2025-01-20 00:00:00|13.102.6.2     |2            |
|2025-01-20 00:00:00|228.44.32.123  |2            |
|2025-01-20 00:00:00|37.37.18.204   |2            |
|2025-01-27 00:00:00|126.85.118.90  |2            |
|2025-01-27 00:00:00|235.33.132.205 |2            |
|2025-01-27 00:00:00|246.136.201.113|2            |
|2025-01-27 00:00:00|162.113.106.115|2            |
|2025-01-27 00:00:00|15.223.175.109 |2            |
|2025-02-03 00:00:00|7.224.194.173  |2            |
|2025-02-03 00:00:00|40.183.131.139 |2            |
|2025-02-03 00:00:00|168.0.136.55   |2            |
|2025-02-03 00:00:00|109.74.107.175 |2            |
|2025-02-03 00:00:00|184.237.155.38 |2            |
|2025-02-10 00:00:00|39.212.27.255  |2            |
|2025-02-10 00:00:00|108.67.79.108  |2            |
|2025-02-10 00:00:00|212.222.15.221 |2            |
|2025-02-10 00:00:00|152.176.176.55 |2            |
|2025-02-10 00:00:00|163.85.163.18  |2            |
|2025-02-17 00:00:00|130.139.38.54  |2            |
|2025-02-17 00:00:00|37.80.52.238   |2            |
|2025-02-17 00:00:00|170.132.177.160|2            |
|2025-02-17 00:00:00|0.147.23.72    |2            |
|2025-02-17 00:00:00|61.50.144.51   |2            |
|2025-02-24 00:00:00|29.154.15.5    |2            |
|2025-02-24 00:00:00|132.250.86.115 |2            |
|2025-02-24 00:00:00|207.86.114.90  |2            |
|2025-02-24 00:00:00|133.55.251.172 |2            |
|2025-02-24 00:00:00|135.12.38.183  |2            |
|2025-03-03 00:00:00|185.75.119.227 |2            |
|2025-03-03 00:00:00|138.197.122.200|2            |
|2025-03-03 00:00:00|1.97.59.94     |2            |
|2025-03-03 00:00:00|67.50.12.99    |2            |
|2025-03-03 00:00:00|23.122.221.230 |2            |
|2025-03-10 00:00:00|208.189.67.170 |2            |
|2025-03-10 00:00:00|139.148.139.117|2            |
|2025-03-10 00:00:00|10.211.127.179 |2            |
|2025-03-10 00:00:00|155.126.154.124|2            |
|2025-03-10 00:00:00|103.189.140.228|2            |
|2025-03-17 00:00:00|230.18.127.74  |2            |
|2025-03-17 00:00:00|136.8.35.91    |2            |
|2025-03-17 00:00:00|194.55.32.89   |2            |
|2025-03-17 00:00:00|95.82.102.82   |2            |
|2025-03-17 00:00:00|252.171.184.62 |2            |
|2025-03-24 00:00:00|88.255.3.23    |2            |
|2025-03-24 00:00:00|131.131.199.73 |1            |
|2025-03-24 00:00:00|10.190.83.156  |1            |
|2025-03-24 00:00:00|112.85.188.16  |1            |
|2025-03-24 00:00:00|145.3.142.85   |1            |
+-------------------+---------------+-------------+

=== Monthly Top 5 IPs ===
+-------------------+---------------+-------------+
|month              |ip_address     |request_count|
+-------------------+---------------+-------------+
|2024-12-01 00:00:00|199.107.223.122|2            |
|2024-12-01 00:00:00|190.253.217.123|2            |
|2024-12-01 00:00:00|44.50.62.37    |2            |
|2024-12-01 00:00:00|30.122.45.225  |2            |
|2024-12-01 00:00:00|84.242.254.244 |2            |
|2025-01-01 00:00:00|7.65.171.16    |2            |
|2025-01-01 00:00:00|44.99.249.53   |2            |
|2025-01-01 00:00:00|11.233.159.180 |2            |
|2025-01-01 00:00:00|60.58.106.248  |2            |
|2025-01-01 00:00:00|60.47.133.104  |2            |
|2025-02-01 00:00:00|14.66.25.179   |2            |
|2025-02-01 00:00:00|92.36.231.202  |2            |
|2025-02-01 00:00:00|74.31.159.94   |2            |
|2025-02-01 00:00:00|55.225.143.124 |2            |
|2025-02-01 00:00:00|151.150.190.71 |2            |
|2025-03-01 00:00:00|202.118.186.138|2            |
|2025-03-01 00:00:00|199.49.226.220 |2            |
|2025-03-01 00:00:00|227.166.103.118|2            |
|2025-03-01 00:00:00|254.156.57.200 |2            |
|2025-03-01 00:00:00|192.132.2.112  |2            |
+-------------------+---------------+-------------+

